PLC Tag,Display Name,Area,Equipment,Parameter,Unit,Category,Data Type,Normal Low,Normal High,Warning Low,Warning High,Critical Low,Critical High,Active,Mapping Status
LIT140HP008,LIT140HP008,Area 140,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT140HP009,LIT140HP009,Area 140,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT140HP010,LIT140HP010,Area 140,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT140TK01A,LIT140TK01A,Area 140,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT140TK02A,LIT140TK02A,Area 140,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT140TK03A,LIT140TK03A,Area 140,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT140TK04A,LIT140TK04A,Area 140,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT140TK005,LIT140TK005,Area 140,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT140TK009,LIT140TK009,Area 140,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT140TK013,LIT140TK013,Area 140,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT140TK017,LIT140TK017,Area 140,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT140TK020,LIT140TK020,Area 140,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT140TK021,LIT140TK021,Area 140,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT140TK025,LIT140TK025,Area 140,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT140TK029,LIT140TK029,Area 140,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT140TK032,LIT140TK032,Area 140,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT140TK033,LIT140TK033,Area 140,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT150TK03A,LIT150TK03A,Area 150,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT150TK04A,LIT150TK04A,Area 150,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
